city,country,iso2,lat,lng,country_code,aqi_level,co,no,no2,o3,so2,pm2_5,pm10,nh3,current_temp,feels_like,min_temp,max_temp,pressure,humidity,visibility,wind_speed,wind_angle,wind_direction
Riyadh,Saudi Arabia,SA,24.65,46.71,"Riyadh,SA",Very Poor,370.5,0,50.04,55.79,61.04,65.3,205.81,1.24,77.12599999999999,76.36999999999996,77.12599999999999,77.12599999999999,1007,39,10000,3.45,16,North North East
Dar es Salaam,Tanzania,TZ,-6.8,39.2833,"Dar es Salaam,TZ",Moderate,767.71,0.01,8.31,18.77,3.93,21.12,37.27,8.74,73.88599999999997,75.10999999999999,73.88599999999997,73.88599999999997,1012,88,10000,1.81,159,South South East
Xinyang,China,CN,32.1264,114.0672,"Xinyang,CN",Poor,480.65,1.61,16.11,30.04,6.8,42.02,43.75,0.79,66.41599999999991,66.79399999999998,66.41599999999991,66.41599999999991,1012,86,10000,0.94,295,West North West
Shangrao,China,CN,28.4419,117.9633,"Shangrao,CN",Very Poor,383.85,0.23,9.17,41.84,8.11,62.34,71.53,5.07,80.708,82.83199999999991,80.708,80.708,1009,61,10000,1.06,75,East North East
Luoyang,China,CN,34.6587,112.4245,"Luoyang,CN",Very Poor,660.9,12.07,30.85,5.59,15.5,90.04,102.74,3.42,65.22799999999997,65.35399999999996,65.22799999999997,65.22799999999997,1012,83,10000,2.12,247,West South West
Bijie,China,CN,27.3019,105.2863,"Bijie,CN",Fair,363.83,0.07,2.42,62.94,2.33,17.3,20.05,4.12,58.74799999999992,57.434,58.74799999999992,58.74799999999992,1016,66,10000,1.59,261,West South West
Quanzhou,China,CN,24.9139,118.5858,"Quanzhou,CN",Very Poor,640.87,9.84,14.22,10.01,12.99,67.36,85.71,5.26,83.13799999999995,90.42799999999997,80.52799999999996,83.13799999999995,1009,76,10000,0.62,35,North North East
Hangzhou,China,CN,30.25,120.1675,"Hangzhou,CN",Very Poor,1535.42,33.98,36.33,2.64,30.28,187.18,218.72,2.88,79.87999999999994,79.87999999999994,76.892,79.87999999999994,1008,81,10000,1.74,258,West South West
Miami,United States,US,25.7839,-80.2102,"Miami,US",Fair,290.39,0,9.25,87.98,1.09,5.74,11.23,0.6,80.86999999999996,83.78599999999997,79.96999999999997,82.4,1014,66,10000,0.45,9,North North East
Huanggang,China,CN,30.45,114.875,"Huanggang,CN",Very Poor,383.85,1.96,7.54,14.66,5.31,53.09,79.17,3.04,78.67399999999992,79.808,78.67399999999992,78.67399999999992,1010,76,10000,0.24,2,North North East
Maoming,China,CN,21.6618,110.9178,"Maoming,CN",Very Poor,694.28,1.98,14.4,10.28,16.69,144.23,165.19,5.89,80.34799999999993,85.15399999999995,80.34799999999993,80.34799999999993,1010,81,10000,1.6,320,North North West
Kunming,China,CN,25.0433,102.7061,"Kunming,CN",Fair,300.41,0.09,11.48,26.82,10.97,16.48,22,2.57,58.90999999999998,58.11799999999998,58.90999999999998,58.90999999999998,1024,77,10000,2,10,North North East
Nanchong,China,CN,30.7991,106.0784,"Nanchong,CN",Very Poor,1188.28,32.19,20.74,0.09,37.67,109.24,130.66,57.76,71.11399999999993,71.97799999999997,71.11399999999993,71.11399999999993,1013,86,10000,0.53,235,West South West
Zunyi,China,CN,27.705,106.9336,"Zunyi,CN",Poor,473.98,0.04,4.8,45.78,2.95,36.37,40.74,4.37,63.895999999999944,64.076,63.895999999999944,63.895999999999944,1014,87,10000,0.85,322,North North West
Jieyang,China,CN,23.5533,116.3649,"Jieyang,CN",Poor,380.52,1.58,18.68,27.9,27.9,45.27,56.64,1.12,78.70999999999998,78.70999999999998,78.70999999999998,78.70999999999998,1010,78,10000,0.49,257,West South West
Lu’an,China,CN,31.7542,116.5078,"Lu’an,CN",Poor,627.52,5.09,50.72,0.01,16.45,46.1,46.97,0.45,68.14399999999998,68.88199999999992,68.14399999999998,68.14399999999998,1011,90,10000,4.77,315,North North West
Beijing,China,CN,39.905,116.3914,"Beijing,CN",Very Poor,1735.69,92.09,48.67,0.82,53.88,289.79,327.63,6.27,64.74199999999999,65.33599999999997,61.87999999999994,66.73999999999992,1010,94,10000,1.84,7,North North East
Cairo,Egypt,EG,30.0561,31.2394,"Cairo,EG",Fair,277.04,0,20.39,32.54,10.25,16.52,28.97,18.49,74.69599999999994,73.93999999999991,73.4,74.69599999999994,1013,44,10000,3.09,10,North North East
